"Campaign name","Ad name",Reach,Impressions,Views,"Post engagements",Currency,"Amount spent (THB)","Reporting starts","Reporting ends"
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",60096,65471,65406,367,THB,561.85,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",40304,60988,61106,278,THB,549.7,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",57001,65458,65091,651,THB,542.65,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",38067,54713,54801,98,THB,534.23,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",54314,57120,57044,197,THB,510.56,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",55092,59119,59240,84,THB,476.73,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",48412,56494,56529,89,THB,455.14,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",19392,42784,42853,193,THB,441.44,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",25498,45427,45468,371,THB,433.91,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",33170,45476,45516,196,THB,419.66,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",39468,42477,42394,465,THB,405.09,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",18157,39012,38870,123,THB,396.05,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",32558,39419,39127,247,THB,379.16,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",26768,40207,40258,66,THB,358.63,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ทองรูปพรรณหลากหลายลาย | 21 Mar 26",36532,43207,43221,91,THB,343.96,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",32895,37337,36625,998,THB,330.37,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",21488,29242,29304,130,THB,239.26,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","ช็อปสนุกสุขคูณสองรับลดสูงสุด 65% | 20 Mar 26",19189,20695,20717,64,THB,231.56,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",14565,19401,19437,105,THB,201.85,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","motion สงกรานต์นี้ ช้อปสนุก สุข𝘅𝟮",4840,5100,5160,3507,THB,199.16,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",16527,21884,21915,37,THB,197.79,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026",ใกล้สงกรานต์แล้วมีของขวัญให้คนที่คุณรักหรือยัง,3833,3905,3944,2955,THB,184.71,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",14174,19178,19201,42,THB,175.16,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness | 20 Mar - 17 April 2026","เสริมดวงแบบมีสไตล์  ใส่แล้วปังแบบไม่ต้องพูดเยอะ | 23 Mar 26",19325,21361,21362,135,THB,173.11,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","สงกรานต์นี้ ช็อปสนุก สุขx2 ลดแรงสูงสุด 65% | 20 Mar 26",2356,2402,2414,1941,THB,123.69,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Awareness Location Focus | 20 Mar - 17 April 2026","เปล่งประกายรับสงกรานต์ กับสินค้าเพชร | 22Mar 26",8437,10215,10223,31,THB,95.42,2026-04-01,2026-04-30
"2104 | Marcom | Songkran Video View | 20 Mar - 17 April 2026","มาแล้วๆ โปรรับหน้าร้อน กับช็อปสนุก สุขx2",641,641,659,431,THB,22.76,2026-04-01,2026-04-30
